0,1
0.097,552.0
0.12,517.0
0.144,530.0
0.167,537.0
0.191,533.0
0.216,532.0
0.239,539.0
0.263,535.0
0.286,540.0
0.31,544.0
0.333,524.0
0.357,541.0
0.38,534.0
0.405,541.0
0.429,554.0
0.452,551.0
0.476,544.0
0.499,542.0
0.523,560.0
0.546,533.0
0.57,544.0
0.594,545.0
0.618,552.0
0.642,568.0
0.665,558.0
0.689,565.0
0.712,557.0
0.736,543.0
0.76,564.0
0.784,559.0
0.807,545.0
0.831,555.0
0.855,571.0
0.878,557.0
0.902,556.0
0.925,571.0
0.95,541.0
0.973,570.0
0.997,580.0
1.02,548.0
1.044,551.0
1.068,570.0
1.091,568.0
1.116,565.0
1.139,566.0
1.163,553.0
1.186,571.0
1.21,557.0
1.234,558.0
1.258,552.0
1.282,557.0
1.305,563.0
1.329,571.0
1.352,545.0
1.377,570.0
1.4,559.0
1.424,556.0
1.447,561.0
1.471,552.0
1.495,573.0
1.519,555.0
1.543,567.0
1.566,576.0
1.59,545.0
1.613,546.0
1.637,545.0
1.661,551.0
1.685,561.0
1.709,556.0
1.732,549.0
1.756,541.0
1.78,531.0
1.804,557.0
1.827,549.0
1.851,555.0
1.874,553.0
1.898,565.0
1.923,541.0
1.946,549.0
1.97,538.0
1.993,523.0
2.017,533.0
2.04,543.0
2.065,548.0
2.088,539.0
2.112,535.0
2.136,537.0
2.159,538.0
2.184,540.0
2.207,543.0
2.231,548.0
2.254,552.0
2.278,556.0
2.301,528.0
2.326,538.0
2.35,519.0
2.373,549.0
2.397,531.0
2.42,531.0
2.444,537.0
2.468,550.0
2.492,538.0
2.515,524.0
2.539,543.0
2.563,542.0
2.586,534.0
2.611,530.0
2.634,547.0
2.658,534.0
2.681,541.0
2.705,541.0
2.729,520.0
2.753,531.0
2.777,536.0
2.8,534.0
2.824,534.0
2.847,523.0
2.872,525.0
2.895,538.0
2.919,523.0
2.942,530.0
2.966,541.0
2.99,533.0
3.014,523.0
3.038,535.0
3.061,525.0
3.085,530.0
3.108,511.0
3.133,524.0
3.156,541.0
3.18,513.0
3.204,528.0
3.227,524.0
3.251,517.0
3.275,521.0
3.299,527.0
3.322,522.0
3.346,528.0
3.369,521.0
3.394,531.0
3.418,515.0
3.441,538.0
3.465,521.0
3.488,521.0
3.512,524.0
3.536,527.0
3.56,527.0
3.584,546.0
3.607,523.0
3.631,541.0
3.654,535.0
3.679,541.0
3.702,521.0
3.726,517.0
3.749,525.0
3.773,541.0
3.796,536.0
3.821,517.0
3.845,521.0
3.868,525.0
3.892,518.0
3.915,542.0
3.94,536.0
3.963,542.0
3.987,526.0
4.011,522.0
4.034,534.0
4.058,530.0
4.082,528.0
4.106,525.0
4.129,523.0
4.153,540.0
4.176,530.0
4.2,547.0
4.225,541.0
4.248,538.0
4.272,530.0
4.295,533.0
4.319,516.0
4.343,530.0
4.367,535.0
4.39,522.0
4.414,534.0
4.438,523.0
4.461,527.0
4.486,540.0
4.509,516.0
4.533,531.0
4.556,526.0
4.58,530.0
4.603,516.0
4.628,537.0
4.652,521.0
4.675,532.0
4.699,525.0
4.722,532.0
4.746,521.0
4.77,541.0
4.794,541.0
4.817,527.0
4.841,508.0
4.865,526.0
4.889,541.0
4.913,529.0
4.936,535.0
4.96,523.0
4.983,535.0
5.007,533.0
5.031,520.0
5.055,520.0
5.079,527.0
5.102,518.0
5.126,533.0
5.149,536.0
5.174,539.0
5.197,516.0
5.221,526.0
5.244,527.0
5.268,530.0
5.293,535.0
5.316,535.0
5.34,535.0
5.363,539.0
5.387,534.0
5.41,533.0
5.435,537.0
5.458,513.0
5.482,538.0
5.506,540.0
5.529,519.0
5.553,531.0
5.577,515.0
5.601,532.0
5.624,529.0
5.648,528.0
5.671,520.0
5.696,521.0
5.72,523.0
5.743,538.0
5.767,524.0
5.79,515.0
5.814,524.0
5.838,537.0
5.862,531.0
5.885,524.0
5.909,521.0
5.933,508.0
5.957,525.0
5.981,551.0
6.004,521.0
6.028,535.0
6.051,534.0
6.075,528.0
6.099,533.0
6.123,519.0
6.147,522.0
6.17,515.0
6.194,515.0
6.217,515.0
6.242,521.0
6.265,512.0
6.289,516.0
6.312,523.0
6.336,506.0
6.361,511.0
6.384,503.0
6.408,505.0
6.431,500.0
6.455,487.0
6.478,498.0
6.503,490.0
6.526,490.0
6.55,482.0
6.574,498.0
6.597,486.0
6.621,475.0
6.645,495.0
6.669,471.0
6.692,469.0
6.716,479.0
6.739,470.0
6.763,468.0
6.788,459.0
6.811,457.0
6.835,458.0
6.858,460.0
6.882,459.0
6.906,455.0
6.93,452.0
6.953,438.0
6.977,449.0
7.001,446.0
7.024,442.0
7.049,426.0
7.072,435.0
7.096,437.0
7.119,423.0
7.143,416.0
7.166,426.0
7.191,427.0
7.215,422.0
7.238,413.0
7.262,409.0
7.285,416.0
7.309,424.0
7.333,408.0
7.357,406.0
7.38,400.0
7.404,398.0
7.428,400.0
7.452,396.0
7.476,399.0
7.499,386.0
7.523,388.0
7.546,379.0
7.57,387.0
7.595,377.0
7.618,381.0
7.642,375.0
7.665,364.0
7.689,379.0
7.712,363.0
7.737,362.0
7.76,356.0
7.784,360.0
7.808,359.0
7.831,345.0
7.855,352.0
7.879,335.0
7.903,328.0
7.926,330.0
7.95,337.0
7.973,333.0
7.998,337.0
8.022,331.0
8.045,333.0
8.069,334.0
8.092,327.0
8.116,331.0
8.14,323.0
8.164,312.0
8.187,322.0
8.211,332.0
8.235,326.0
8.258,313.0
8.283,317.0
8.306,310.0
8.33,312.0
8.353,311.0
