x_mean/x_ptop,x_mean/x_rms,x_mean/x_std,x_ptop/x_std,x_rms/x_std,y_mean/y_ptop,y_mean/y_rms,y_mean/y_std,y_ptop/y_std,y_rms/y_std,x_1X/x_2X,x_1X/x_3X,x_1X/x_4X,x_1X/x_5X,x_2X/x_3X,x_2X/x_4X,x_2X/x_5X,x_3X/x_4X,x_3X/x_5X,x_4X/x_5X,y_1X/y_2X,y_1X/y_3X,y_1X/y_4X,y_1X/y_5X,y_2X/y_3X,y_2X/y_4X,y_2X/y_5X,y_3X/y_4X,y_3X/y_5X,y_4X/y_5X,x_cf,x_skew,x_kurtosis,y_cf,y_skew,y_kurtosis
0.1699024890225127,0.0,0.0,0.0,0.0,0.16934457780670437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06874120586241131,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.1529620132202034,0.0,0.0,0.0,0.0,-0.0007447228131373974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019504636164652672
0.0,0.0,0.0012331403638861232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013215679329234113,0.0,0.0034721586534713703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.12671030899536076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.189035064729521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0013342024666854642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037474873895694025
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006954044330176341,0.0,0.0,0.0,-0.0006598332317892721,0.0,0.0,0.0011932286392105536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,0.004797266293075595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.0002612760637312264,,,,,,,,,,,,,,,,,-0.0010744881012813984,,,,,
,,,,,0.031219549621253843,,,,,,,,,,,,,,,,,,,,,,,0.0037746149220123405,,,,,,,0.05971184719367528
,,,-0.0014719105083666698,,,,0.017240977993636736,,,,,,,,,,,,,,,,,,,,,,,,,0.030926852022653318,,,
,,,,,0.054313115328845925,,,,-0.00029057158052402804,0.00024240937651324145,,,,,,,,,,,,,,,,,,0.042531139621070135,,,,,,,0.05460907251946846
,,,,,,,,,,,,,,,,,,,,,,,0.0005810057079772332,,,,,,,,,,,,
,,,,0.00016285019334415056,,,,,,,,,,,,,,,,0.00556312176724443,,,,,,,0.009281932689649303,,,,,,,,
0.05249241502516781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007274832962334249,0.07847744373089165,,,
,,,,,0.0014808714576794255,,,-0.0013064075638506787,,,,0.00011380353833335272,,,,,,,,,,,,,,,,,-2.011686725186812e-09,,,,0.001600415188897062,,
,,,,,,,,,,,,,,,,,,,,,,,,0.0047418882591209,,,,,,,,,,,
0.3231621133159808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20457865769661757,,,
0.04034314021389005,,,,,,,,,,,,,,,,,,,,,,,-0.00010832289369651013,,,,,,,,,0.18975653730813208,,,
,,,,,,,,,,,,0.0011989499180025589,,,,,,,,,,0.0017213265974443115,,,,,,,,,,,,,
,,,,,0.04828356485011545,,,,,-0.00012584777965689124,,,,,,,,,,,,,,,,,,,,,,,,,0.051609137305819425
,,,,,,,,,,,,,,,,,,,,,,,9.62568716278752e-05,,,,,,,,,,,,0.004720218045285371
0.10765746320967211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3206686516043677,,,
,,,,,0.03918356065801413,,,,,,,,,,,,,,0.0016299447711663195,,0.0030852979233586472,,,,,,,,,,,,,,0.029108765730096686
,,,,,,,,,,,,,3.061187240265169e-05,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.040893568457797375,,,,,,,0.0016236671078218544,,,,,,,,,,,,,0.0008607072895075018,,,,,,,,,,0.060956541894090194
,,,,,,0.0028620105249242394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-0.0032823450292125238,,-3.652597669272055e-05,,,,,,,,,,,,,,,,,,,,,0.0029242973514845075,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005549446163872566
,,,,,0.2318699243617445,,,,0.0009299231777803053,-0.0002981202490763002,,,,,,,,,,,,,,,,,,,,,,,,,0.2337022137943567
,,,,,,,,0.08966316654763715,0.0066355114508274676,,,,,,,,,,,,,1.3598266222551031e-05,,,,,,,,,,,,,0.039952663502892984
,,,,,0.04218153107654925,,,,0.002207383316036534,,,,,,,,,,,,,,,,,,,,-1.3403425734713481e-05,,,,,-0.0041782317915767826,0.12120195994032462
