0,1
0.097,531.0
0.12,537.0
0.144,536.0
0.167,521.0
0.191,530.0
0.216,547.0
0.239,533.0
0.263,548.0
0.286,529.0
0.31,528.0
0.333,521.0
0.357,522.0
0.38,533.0
0.405,543.0
0.429,530.0
0.452,533.0
0.476,530.0
0.499,532.0
0.523,528.0
0.546,526.0
0.57,535.0
0.594,517.0
0.618,530.0
0.642,544.0
0.665,542.0
0.689,546.0
0.712,530.0
0.736,521.0
0.76,528.0
0.784,532.0
0.807,533.0
0.831,538.0
0.855,529.0
0.878,518.0
0.902,547.0
0.925,540.0
0.95,528.0
0.973,532.0
0.997,545.0
1.02,521.0
1.044,535.0
1.068,517.0
1.091,548.0
1.116,543.0
1.139,538.0
1.163,542.0
1.186,549.0
1.21,534.0
1.234,522.0
1.258,541.0
1.282,539.0
1.305,528.0
1.329,532.0
1.352,539.0
1.377,531.0
1.4,536.0
1.424,538.0
1.447,537.0
1.471,534.0
1.495,538.0
1.519,542.0
1.543,526.0
1.566,523.0
1.59,538.0
1.613,523.0
1.637,514.0
1.661,521.0
1.685,531.0
1.709,543.0
1.732,542.0
1.756,538.0
1.779,530.0
1.804,529.0
1.827,547.0
1.851,518.0
1.874,530.0
1.898,527.0
1.923,536.0
1.946,521.0
1.97,533.0
1.993,531.0
2.017,536.0
2.04,538.0
2.065,531.0
2.088,545.0
2.112,531.0
2.136,522.0
2.159,542.0
2.183,548.0
2.207,534.0
2.231,526.0
2.254,526.0
2.278,530.0
2.301,547.0
2.325,526.0
2.35,527.0
2.373,522.0
2.397,530.0
2.42,523.0
2.444,544.0
2.468,540.0
2.492,534.0
2.515,536.0
2.539,532.0
2.563,522.0
2.586,540.0
2.611,539.0
2.634,535.0
2.658,540.0
2.681,533.0
2.705,543.0
2.728,530.0
2.753,537.0
2.777,539.0
2.8,542.0
2.824,523.0
2.847,533.0
2.872,523.0
2.895,518.0
2.919,540.0
2.942,544.0
2.966,533.0
2.99,521.0
3.014,521.0
3.038,535.0
3.061,544.0
3.085,532.0
3.108,548.0
3.132,526.0
3.156,544.0
3.18,543.0
3.204,540.0
3.227,545.0
3.251,543.0
3.275,535.0
3.299,543.0
3.322,532.0
3.346,526.0
3.369,550.0
3.393,523.0
3.418,537.0
3.441,539.0
3.465,522.0
3.488,520.0
3.512,538.0
3.535,537.0
3.56,543.0
3.584,513.0
3.607,515.0
3.631,534.0
3.654,525.0
3.679,542.0
3.702,527.0
3.726,531.0
3.749,547.0
3.773,542.0
3.796,544.0
3.821,543.0
3.845,533.0
3.868,523.0
3.892,539.0
3.915,537.0
3.939,531.0
3.963,532.0
3.987,524.0
4.011,535.0
4.034,529.0
4.058,539.0
4.082,547.0
4.106,531.0
4.129,544.0
4.153,551.0
4.176,536.0
4.2,537.0
4.225,530.0
4.248,536.0
4.272,541.0
4.295,548.0
4.319,535.0
4.342,530.0
4.367,536.0
4.39,541.0
4.414,533.0
4.438,537.0
4.461,536.0
4.485,527.0
4.509,536.0
4.533,542.0
4.556,538.0
4.58,538.0
4.603,529.0
4.628,528.0
4.652,533.0
4.675,535.0
4.699,534.0
4.722,529.0
4.746,546.0
4.77,540.0
4.794,531.0
4.817,532.0
4.841,529.0
4.865,531.0
4.888,531.0
4.913,542.0
4.936,529.0
4.96,541.0
4.983,551.0
5.007,519.0
5.03,548.0
